6561
12800
12720
320

0 : < 0, 1 >
3272 : < 0.4, 0.5 >
3273 : < 0.4125, 0.5 >
3274 : < 0.425, 0.5 >
3275 : < 0.4375, 0.5 >
3276 : < 0.45, 0.5 >
3277 : < 0.4625, 0.5 >
3278 : < 0.475, 0.5 >
3279 : < 0.4875, 0.5 >
3280 : < 0.5, 0.5 >
3281 : < 0.5125, 0.5 >
3282 : < 0.525, 0.5 >
3283 : < 0.5375, 0.5 >
3284 : < 0.55, 0.5 >
3285 : < 0.5625, 0.5 >
3286 : < 0.575, 0.5 >
3287 : < 0.5875, 0.5 >
3288 : < 0.6, 0.5 >
3289 : < 0.6125, 0.5 >
3290 : < 0.625, 0.5 >
3291 : < 0.6375, 0.5 >
3292 : < 0.65, 0.5 >
3293 : < 0.6625, 0.5 >
3294 : < 0.675, 0.5 >
3295 : < 0.6875, 0.5 >
3296 : < 0.7, 0.5 >
3297 : < 0.7125, 0.5 >
3298 : < 0.725, 0.5 >
3299 : < 0.7375, 0.5 >
3300 : < 0.75, 0.5 >
3301 : < 0.7625, 0.5 >
3302 : < 0.775, 0.5 >
3303 : < 0.7875, 0.5 >
3304 : < 0.8, 0.5 >
3305 : < 0.8125, 0.5 >
3306 : < 0.825, 0.5 >
3307 : < 0.8375, 0.5 >
3308 : < 0.85, 0.5 >
3309 : < 0.8625, 0.5 >
3310 : < 0.875, 0.5 >
3311 : < 0.8875, 0.5 >
3312 : < 0.9, 0.5 >
3313 : < 0.9125, 0.5 >
3314 : < 0.925, 0.5 >
3315 : < 0.9375, 0.5 >
3316 : < 0.95, 0.5 >
3317 : < 0.9625, 0.5 >
3318 : < 0.975, 0.5 >
3319 : < 0.9875, 0.5 >
3320 : < 1, 0.5 >
3321 : < 0, 0.4875 >
3322 : < 0.0125, 0.4875 >
3323 : < 0.025, 0.4875 >
3324 : < 0.0375, 0.4875 >
3325 : < 0.05, 0.4875 >
3326 : < 0.0625, 0.4875 >
3327 : < 0.075, 0.4875 >
3328 : < 0.0875, 0.4875 >
3329 : < 0.1, 0.4875 >
3330 : < 0.1125, 0.4875 >
3331 : < 0.125, 0.4875 >
3332 : < 0.1375, 0.4875 >
3333 : < 0.15, 0.4875 >
3334 : < 0.1625, 0.4875 >
3335 : < 0.175, 0.4875 >
3336 : < 0.1875, 0.4875 >
3337 : < 0.2, 0.4875 >
3338 : < 0.2125, 0.4875 >
3339 : < 0.225, 0.4875 >
3340 : < 0.2375, 0.4875 >
3341 : < 0.25, 0.4875 >
3342 : < 0.2625, 0.4875 >
3343 : < 0.275, 0.4875 >
3344 : < 0.2875, 0.4875 >
3345 : < 0.3, 0.4875 >
3346 : < 0.3125, 0.4875 >
3347 : < 0.325, 0.4875 >
3348 : < 0.3375, 0.4875 >
3349 : < 0.35, 0.4875 >
3350 : < 0.3625, 0.4875 >
3351 : < 0.375, 0.4875 >
3352 : < 0.3875, 0.4875 >
3353 : < 0.4, 0.4875 >
3354 : < 0.4125, 0.4875 >
3355 : < 0.425, 0.4875 >
3356 : < 0.4375, 0.4875 >
3357 : < 0.45, 0.4875 >
3358 : < 0.4625, 0.4875 >
3359 : < 0.475, 0.4875 >
3360 : < 0.4875, 0.4875 >
3361 : < 0.5, 0.4875 >
3362 : < 0.5125, 0.4875 >
3363 : < 0.525, 0.4875 >
3364 : < 0.5375, 0.4875 >
3365 : < 0.55, 0.4875 >
3366 : < 0.5625, 0.4875 >
3367 : < 0.575, 0.4875 >
3368 : < 0.5875, 0.4875 >
3369 : < 0.6, 0.4875 >
3370 : < 0.6125, 0.4875 >
3371 : < 0.625, 0.4875 >
3372 : < 0.6375, 0.4875 >
3373 : < 0.65, 0.4875 >
3374 : < 0.6625, 0.4875 >
3375 : < 0.675, 0.4875 >
3376 : < 0.6875, 0.4875 >
3377 : < 0.7, 0.4875 >
3378 : < 0.7125, 0.4875 >
3379 : < 0.725, 0.4875 >
3380 : < 0.7375, 0.4875 >
3381 : < 0.75, 0.4875 >
3382 : < 0.7625, 0.4875 >
3383 : < 0.775, 0.4875 >
3384 : < 0.7875, 0.4875 >
3385 : < 0.8, 0.4875 >
3386 : < 0.8125, 0.4875 >
3387 : < 0.825, 0.4875 >
3388 : < 0.8375, 0.4875 >
3389 : < 0.85, 0.4875 >
3390 : < 0.8625, 0.4875 >
3391 : < 0.875, 0.4875 >
3392 : < 0.8875, 0.4875 >
3393 : < 0.9, 0.4875 >
3394 : < 0.9125, 0.4875 >
3395 : < 0.925, 0.4875 >
3396 : < 0.9375, 0.4875 >
3397 : < 0.95, 0.4875 >
3398 : < 0.9625, 0.4875 >
3399 : < 0.975, 0.4875 >
3400 : < 0.9875, 0.4875 >
3401 : < 1, 0.4875 >
3402 : < 0, 0.475 >
3403 : < 0.0125, 0.475 >
3404 : < 0.025, 0.475 >
3405 : < 0.0375, 0.475 >
3406 : < 0.05, 0.475 >
3407 : < 0.0625, 0.475 >
3408 : < 0.075, 0.475 >
3409 : < 0.0875, 0.475 >
3410 : < 0.1, 0.475 >
3411 : < 0.1125, 0.475 >
3412 : < 0.125, 0.475 >
3413 : < 0.1375, 0.475 >
3414 : < 0.15, 0.475 >
3415 : < 0.1625, 0.475 >
3416 : < 0.175, 0.475 >
3417 : < 0.1875, 0.475 >
3418 : < 0.2, 0.475 >
3419 : < 0.2125, 0.475 >
3420 : < 0.225, 0.475 >
3421 : < 0.2375, 0.475 >
3422 : < 0.25, 0.475 >
3423 : < 0.2625, 0.475 >
3424 : < 0.275, 0.475 >
3425 : < 0.2875, 0.475 >
3426 : < 0.3, 0.475 >
3427 : < 0.3125, 0.475 >
3428 : < 0.325, 0.475 >
3429 : < 0.3375, 0.475 >
3430 : < 0.35, 0.475 >
3431 : < 0.3625, 0.475 >
3432 : < 0.375, 0.475 >
3433 : < 0.3875, 0.475 >
3434 : < 0.4, 0.475 >
3435 : < 0.4125, 0.475 >
3436 : < 0.425, 0.475 >
3437 : < 0.4375, 0.475 >
3438 : < 0.45, 0.475 >
3439 : < 0.4625, 0.475 >
3440 : < 0.475, 0.475 >
3441 : < 0.4875, 0.475 >
3442 : < 0.5, 0.475 >
3443 : < 0.5125, 0.475 >
3444 : < 0.525, 0.475 >
3445 : < 0.5375, 0.475 >
3446 : < 0.55, 0.475 >
3447 : < 0.5625, 0.475 >
3448 : < 0.575, 0.475 >
3449 : < 0.5875, 0.475 >
3450 : < 0.6, 0.475 >
3451 : < 0.6125, 0.475 >
3452 : < 0.625, 0.475 >
3453 : < 0.6375, 0.475 >
3454 : < 0.65, 0.475 >
3455 : < 0.6625, 0.475 >
3456 : < 0.675, 0.475 >
3457 : < 0.6875, 0.475 >
3458 : < 0.7, 0.475 >
3459 : < 0.7125, 0.475 >
3460 : < 0.725, 0.475 >
3461 : < 0.7375, 0.475 >
3462 : < 0.75, 0.475 >
3463 : < 0.7625, 0.475 >
3464 : < 0.775, 0.475 >
3465 : < 0.7875, 0.475 >
3466 : < 0.8, 0.475 >
3467 : < 0.8125, 0.475 >
3468 : < 0.825, 0.475 >
3469 : < 0.8375, 0.475 >
3470 : < 0.85, 0.475 >
3471 : < 0.8625, 0.475 >
3472 : < 0.875, 0.475 >
3473 : < 0.8875, 0.475 >
3474 : < 0.9, 0.475 >
3475 : < 0.9125, 0.475 >
3476 : < 0.925, 0.475 >
3477 : < 0.9375, 0.475 >
3478 : < 0.95, 0.475 >
3479 : < 0.9625, 0.475 >
3480 : < 0.975, 0.475 >
3481 : < 0.9875, 0.475 >
3482 : < 1, 0.475 >
3483 : < 0, 0.4625 >
3484 : < 0.0125, 0.4625 >
3485 : < 0.025, 0.4625 >
3486 : < 0.0375, 0.4625 >
3487 : < 0.05, 0.4625 >
3488 : < 0.0625, 0.4625 >
3489 : < 0.075, 0.4625 >
3490 : < 0.0875, 0.4625 >
3491 : < 0.1, 0.4625 >
3492 : < 0.1125, 0.4625 >
3493 : < 0.125, 0.4625 >
3494 : < 0.1375, 0.4625 >
3495 : < 0.15, 0.4625 >
3496 : < 0.1625, 0.4625 >
3497 : < 0.175, 0.4625 >
3498 : < 0.1875, 0.4625 >
3499 : < 0.2, 0.4625 >
3500 : < 0.2125, 0.4625 >
3501 : < 0.225, 0.4625 >
3502 : < 0.2375, 0.4625 >
3503 : < 0.25, 0.4625 >
3504 : < 0.2625, 0.4625 >
3505 : < 0.275, 0.4625 >
3506 : < 0.2875, 0.4625 >
3507 : < 0.3, 0.4625 >
3508 : < 0.3125, 0.4625 >
3509 : < 0.325, 0.4625 >
3510 : < 0.3375, 0.4625 >
3511 : < 0.35, 0.4625 >
3512 : < 0.3625, 0.4625 >
3513 : < 0.375, 0.4625 >
3514 : < 0.3875, 0.4625 >
3515 : < 0.4, 0.4625 >
3516 : < 0.4125, 0.4625 >
3517 : < 0.425, 0.4625 >
3518 : < 0.4375, 0.4625 >
3519 : < 0.45, 0.4625 >
3520 : < 0.4625, 0.4625 >
3521 : < 0.475, 0.4625 >
3522 : < 0.4875, 0.4625 >
3523 : < 0.5, 0.4625 >
3524 : < 0.5125, 0.4625 >
3525 : < 0.525, 0.4625 >
3526 : < 0.5375, 0.4625 >
3527 : < 0.55, 0.4625 >
3528 : < 0.5625, 0.4625 >
3529 : < 0.575, 0.4625 >
3530 : < 0.5875, 0.4625 >
3531 : < 0.6, 0.4625 >
3532 : < 0.6125, 0.4625 >
3533 : < 0.625, 0.4625 >
3534 : < 0.6375, 0.4625 >
3535 : < 0.65, 0.4625 >
3536 : < 0.6625, 0.4625 >
3537 : < 0.675, 0.4625 >
3538 : < 0.6875, 0.4625 >
3539 : < 0.7, 0.4625 >
3540 : < 0.7125, 0.4625 >
3541 : < 0.725, 0.4625 >
3542 : < 0.7375, 0.4625 >
3543 : < 0.75, 0.4625 >
3544 : < 0.7625, 0.4625 >
3545 : < 0.775, 0.4625 >
3546 : < 0.7875, 0.4625 >
3547 : < 0.8, 0.4625 >
3548 : < 0.8125, 0.4625 >
3549 : < 0.825, 0.4625 >
3550 : < 0.8375, 0.4625 >
3551 : < 0.85, 0.4625 >
3552 : < 0.8625, 0.4625 >
3553 : < 0.875, 0.4625 >
3554 : < 0.8875, 0.4625 >
3555 : < 0.9, 0.4625 >
3556 : < 0.9125, 0.4625 >
3557 : < 0.925, 0.4625 >
3558 : < 0.9375, 0.4625 >
3559 : < 0.95, 0.4625 >
3560 : < 0.9625, 0.4625 >
3561 : < 0.975, 0.4625 >
3562 : < 0.9875, 0.4625 >
3563 : < 1, 0.4625 >
3564 : < 0, 0.45 >
3565 : < 0.0125, 0.45 >
3566 : < 0.025, 0.45 >
3567 : < 0.0375, 0.45 >
3568 : < 0.05, 0.45 >
3569 : < 0.0625, 0.45 >
3570 : < 0.075, 0.45 >
3571 : < 0.0875, 0.45 >
3572 : < 0.1, 0.45 >
3573 : < 0.1125, 0.45 >
3574 : < 0.125, 0.45 >
3575 : < 0.1375, 0.45 >
3576 : < 0.15, 0.45 >
3577 : < 0.1625, 0.45 >
3578 : < 0.175, 0.45 >
3579 : < 0.1875, 0.45 >
3580 : < 0.2, 0.45 >
3581 : < 0.2125, 0.45 >
3582 : < 0.225, 0.45 >
3583 : < 0.2375, 0.45 >
3584 : < 0.25, 0.45 >
3585 : < 0.2625, 0.45 >
3586 : < 0.275, 0.45 >
3587 : < 0.2875, 0.45 >
3588 : < 0.3, 0.45 >
3589 : < 0.3125, 0.45 >
3590 : < 0.325, 0.45 >
3591 : < 0.3375, 0.45 >
3592 : < 0.35, 0.45 >
3593 : < 0.3625, 0.45 >
3594 : < 0.375, 0.45 >
3595 : < 0.3875, 0.45 >
3596 : < 0.4, 0.45 >
3597 : < 0.4125, 0.45 >
3598 : < 0.425, 0.45 >
3599 : < 0.4375, 0.45 >
3600 : < 0.45, 0.45 >
3601 : < 0.4625, 0.45 >
3602 : < 0.475, 0.45 >
3603 : < 0.4875, 0.45 >
3604 : < 0.5, 0.45 >
3605 : < 0.5125, 0.45 >
3606 : < 0.525, 0.45 >
3607 : < 0.5375, 0.45 >
3608 : < 0.55, 0.45 >
3609 : < 0.5625, 0.45 >
3610 : < 0.575, 0.45 >
3611 : < 0.5875, 0.45 >
3612 : < 0.6, 0.45 >
3613 : < 0.6125, 0.45 >
3614 : < 0.625, 0.45 >
3615 : < 0.6375, 0.45 >
3616 : < 0.65, 0.45 >
3617 : < 0.6625, 0.45 >
3618 : < 0.675, 0.45 >
3619 : < 0.6875, 0.45 >
3620 : < 0.7, 0.45 >
3621 : < 0.7125, 0.45 >
3622 : < 0.725, 0.45 >
3623 : < 0.7375, 0.45 >
3624 : < 0.75, 0.45 >
3625 : < 0.7625, 0.45 >
3626 : < 0.775, 0.45 >
3627 : < 0.7875, 0.45 >
3628 : < 0.8, 0.45 >
3629 : < 0.8125, 0.45 >
3630 : < 0.825, 0.45 >
3631 : < 0.8375, 0.45 >
3632 : < 0.85, 0.45 >
3633 : < 0.8625, 0.45 >
3634 : < 0.875, 0.45 >
3635 : < 0.8875, 0.45 >
3636 : < 0.9, 0.45 >
3637 : < 0.9125, 0.45 >
3638 : < 0.925, 0.45 >
3639 : < 0.9375, 0.45 >
3640 : < 0.95, 0.45 >
3641 : < 0.9625, 0.45 >
3642 : < 0.975, 0.45 >
3643 : < 0.9875, 0.45 >
3644 : < 1, 0.45 >
3645 : < 0, 0.4375 >
3646 : < 0.0125, 0.4375 >
3647 : < 0.025, 0.4375 >
3648 : < 0.0375, 0.4375 >
3649 : < 0.05, 0.4375 >
3650 : < 0.0625, 0.4375 >
3651 : < 0.075, 0.4375 >
3652 : < 0.0875, 0.4375 >
3653 : < 0.1, 0.4375 >
3654 : < 0.1125, 0.4375 >
3655 : < 0.125, 0.4375 >
3656 : < 0.1375, 0.4375 >
3657 : < 0.15, 0.4375 >
3658 : < 0.1625, 0.4375 >
3659 : < 0.175, 0.4375 >
3660 : < 0.1875, 0.4375 >
3661 : < 0.2, 0.4375 >
3662 : < 0.2125, 0.4375 >
3663 : < 0.225, 0.4375 >
3664 : < 0.2375, 0.4375 >
3665 : < 0.25, 0.4375 >
3666 : < 0.2625, 0.4375 >
3667 : < 0.275, 0.4375 >
3668 : < 0.2875, 0.4375 >
3669 : < 0.3, 0.4375 >
3670 : < 0.3125, 0.4375 >
3671 : < 0.325, 0.4375 >
3672 : < 0.3375, 0.4375 >
3673 : < 0.35, 0.4375 >
3674 : < 0.3625, 0.4375 >
3675 : < 0.375, 0.4375 >
3676 : < 0.3875, 0.4375 >
3677 : < 0.4, 0.4375 >
3678 : < 0.4125, 0.4375 >
3679 : < 0.425, 0.4375 >
3680 : < 0.4375, 0.4375 >
3681 : < 0.45, 0.4375 >
3682 : < 0.4625, 0.4375 >
3683 : < 0.475, 0.4375 >
3684 : < 0.4875, 0.4375 >
3685 : < 0.5, 0.4375 >
3686 : < 0.5125, 0.4375 >
3687 : < 0.525, 0.4375 >
3688 : < 0.5375, 0.4375 >
3689 : < 0.55, 0.4375 >
3690 : < 0.5625, 0.4375 >
3691 : < 0.575, 0.4375 >
3692 : < 0.5875, 0.4375 >
3693 : < 0.6, 0.4375 >
3694 : < 0.6125, 0.4375 >
3695 : < 0.625, 0.4375 >
3696 : < 0.6375, 0.4375 >
3697 : < 0.65, 0.4375 >
3698 : < 0.6625, 0.4375 >
3699 : < 0.675, 0.4375 >
3700 : < 0.6875, 0.4375 >
3701 : < 0.7, 0.4375 >
3702 : < 0.7125, 0.4375 >
3703 : < 0.725, 0.4375 >
3704 : < 0.7375, 0.4375 >
3705 : < 0.75, 0.4375 >
3706 : < 0.7625, 0.4375 >
3707 : < 0.775, 0.4375 >
3708 : < 0.7875, 0.4375 >
3709 : < 0.8, 0.4375 >
3710 : < 0.8125, 0.4375 >
3711 : < 0.825, 0.4375 >
3712 : < 0.8375, 0.4375 >
3713 : < 0.85, 0.4375 >
3714 : < 0.8625, 0.4375 >
3715 : < 0.875, 0.4375 >
3716 : < 0.8875, 0.4375 >
3717 : < 0.9, 0.4375 >
3718 : < 0.9125, 0.4375 >
3719 : < 0.925, 0.4375 >
3720 : < 0.9375, 0.4375 >
3721 : < 0.95, 0.4375 >
3722 : < 0.9625, 0.4375 >
3723 : < 0.975, 0.4375 >
3724 : < 0.9875, 0.4375 >
3725 : < 1, 0.4375 >
3726 : < 0, 0.425 >
3727 : < 0.0125, 0.425 >
3728 : < 0.025, 0.425 >
3729 : < 0.0375, 0.425 >
3730 : < 0.05, 0.425 >
3731 : < 0.0625, 0.425 >
3732 : < 0.075, 0.425 >
3733 : < 0.0875, 0.425 >
3734 : < 0.1, 0.425 >
3735 : < 0.1125, 0.425 >
3736 : < 0.125, 0.425 >
3737 : < 0.1375, 0.425 >
3738 : < 0.15, 0.425 >
3739 : < 0.1625, 0.425 >
3740 : < 0.175, 0.425 >
3741 : < 0.1875, 0.425 >
3742 : < 0.2, 0.425 >
3743 : < 0.2125, 0.425 >
3744 : < 0.225, 0.425 >
3745 : < 0.2375, 0.425 >
3746 : < 0.25, 0.425 >
3747 : < 0.2625, 0.425 >
3748 : < 0.275, 0.425 >
3749 : < 0.2875, 0.425 >
3750 : < 0.3, 0.425 >
3751 : < 0.3125, 0.425 >
3752 : < 0.325, 0.425 >
3753 : < 0.3375, 0.425 >
3754 : < 0.35, 0.425 >
3755 : < 0.3625, 0.425 >
3756 : < 0.375, 0.425 >
3757 : < 0.3875, 0.425 >
3758 : < 0.4, 0.425 >
3759 : < 0.4125, 0.425 >
3760 : < 0.425, 0.425 >
3761 : < 0.4375, 0.425 >
3762 : < 0.45, 0.425 >
3763 : < 0.4625, 0.425 >
3764 : < 0.475, 0.425 >
3765 : < 0.4875, 0.425 >
3766 : < 0.5, 0.425 >
3767 : < 0.5125, 0.425 >
3768 : < 0.525, 0.425 >
3769 : < 0.5375, 0.425 >
3770 : < 0.55, 0.425 >
3771 : < 0.5625, 0.425 >
3772 : < 0.575, 0.425 >
3773 : < 0.5875, 0.425 >
3774 : < 0.6, 0.425 >
3775 : < 0.6125, 0.425 >
3776 : < 0.625, 0.425 >
3777 : < 0.6375, 0.425 >
3778 : < 0.65, 0.425 >
3779 : < 0.6625, 0.425 >
3780 : < 0.675, 0.425 >
3781 : < 0.6875, 0.425 >
3782 : < 0.7, 0.425 >
3783 : < 0.7125, 0.425 >
3784 : < 0.725, 0.425 >
3785 : < 0.7375, 0.425 >
3786 : < 0.75, 0.425 >
3787 : < 0.7625, 0.425 >
3788 : < 0.775, 0.425 >
3789 : < 0.7875, 0.425 >
3790 : < 0.8, 0.425 >
3791 : < 0.8125, 0.425 >
3792 : < 0.825, 0.425 >
3793 : < 0.8375, 0.425 >
3794 : < 0.85, 0.425 >
3795 : < 0.8625, 0.425 >
3796 : < 0.875, 0.425 >
3797 : < 0.8875, 0.425 >
3798 : < 0.9, 0.425 >
3799 : < 0.9125, 0.425 >
3800 : < 0.925, 0.425 >
3801 : < 0.9375, 0.425 >
3802 : < 0.95, 0.425 >
3803 : < 0.9625, 0.425 >
3804 : < 0.975, 0.425 >
3805 : < 0.9875, 0.425 >
3806 : < 1, 0.425 >
3807 : < 0, 0.4125 >
3808 : < 0.0125, 0.4125 >
3809 : < 0.025, 0.4125 >
3810 : < 0.0375, 0.4125 >
3811 : < 0.05, 0.4125 >
3812 : < 0.0625, 0.4125 >
3813 : < 0.075, 0.4125 >
3814 : < 0.0875, 0.4125 >
3815 : < 0.1, 0.4125 >
3816 : < 0.1125, 0.4125 >
3817 : < 0.125, 0.4125 >
3818 : < 0.1375, 0.4125 >
3819 : < 0.15, 0.4125 >
3820 : < 0.1625, 0.4125 >
3821 : < 0.175, 0.4125 >
3822 : < 0.1875, 0.4125 >
3823 : < 0.2, 0.4125 >
3824 : < 0.2125, 0.4125 >
3825 : < 0.225, 0.4125 >
3826 : < 0.2375, 0.4125 >
3827 : < 0.25, 0.4125 >
3828 : < 0.2625, 0.4125 >
3829 : < 0.275, 0.4125 >
3830 : < 0.2875, 0.4125 >
3831 : < 0.3, 0.4125 >
3832 : < 0.3125, 0.4125 >
3833 : < 0.325, 0.4125 >
3834 : < 0.3375, 0.4125 >
3835 : < 0.35, 0.4125 >
3836 : < 0.3625, 0.4125 >
3837 : < 0.375, 0.4125 >
3838 : < 0.3875, 0.4125 >
3839 : < 0.4, 0.4125 >
3840 : < 0.4125, 0.4125 >
3841 : < 0.425, 0.4125 >
3842 : < 0.4375, 0.4125 >
3843 : < 0.45, 0.4125 >
3844 : < 0.4625, 0.4125 >
3845 : < 0.475, 0.4125 >
3846 : < 0.4875, 0.4125 >
3847 : < 0.5, 0.4125 >
3848 : < 0.5125, 0.4125 >
3849 : < 0.525, 0.4125 >
3850 : < 0.5375, 0.4125 >
3851 : < 0.55, 0.4125 >
3852 : < 0.5625, 0.4125 >
3853 : < 0.575, 0.4125 >
3854 : < 0.5875, 0.4125 >
3855 : < 0.6, 0.4125 >
3856 : < 0.6125, 0.4125 >
3857 : < 0.625, 0.4125 >
3858 : < 0.6375, 0.4125 >
3859 : < 0.65, 0.4125 >
3860 : < 0.6625, 0.4125 >
3861 : < 0.675, 0.4125 >
3862 : < 0.6875, 0.4125 >
3863 : < 0.7, 0.4125 >
3864 : < 0.7125, 0.4125 >
3865 : < 0.725, 0.4125 >
3866 : < 0.7375, 0.4125 >
3867 : < 0.75, 0.4125 >
3868 : < 0.7625, 0.4125 >
3869 : < 0.775, 0.4125 >
3870 : < 0.7875, 0.4125 >
3871 : < 0.8, 0.4125 >
3872 : < 0.8125, 0.4125 >
3873 : < 0.825, 0.4125 >
3874 : < 0.8375, 0.4125 >
3875 : < 0.85, 0.4125 >
3876 : < 0.8625, 0.4125 >
3877 : < 0.875, 0.4125 >
3878 : < 0.8875, 0.4125 >
3879 : < 0.9, 0.4125 >
3880 : < 0.9125, 0.4125 >
3881 : < 0.925, 0.4125 >
3882 : < 0.9375, 0.4125 >
3883 : < 0.95, 0.4125 >
3884 : < 0.9625, 0.4125 >
3885 : < 0.975, 0.4125 >
3886 : < 0.9875, 0.4125 >
3887 : < 1, 0.4125 >
3888 : < 0, 0.4 >
3889 : < 0.0125, 0.4 >
3890 : < 0.025, 0.4 >
3891 : < 0.0375, 0.4 >
3892 : < 0.05, 0.4 >
3893 : < 0.0625, 0.4 >
3894 : < 0.075, 0.4 >
3895 : < 0.0875, 0.4 >
3896 : < 0.1, 0.4 >
3897 : < 0.1125, 0.4 >
3898 : < 0.125, 0.4 >
3899 : < 0.1375, 0.4 >
3900 : < 0.15, 0.4 >
3901 : < 0.1625, 0.4 >
3902 : < 0.175, 0.4 >
3903 : < 0.1875, 0.4 >
3904 : < 0.2, 0.4 >
3905 : < 0.2125, 0.4 >
3906 : < 0.225, 0.4 >
3907 : < 0.2375, 0.4 >
3908 : < 0.25, 0.4 >
3909 : < 0.2625, 0.4 >
3910 : < 0.275, 0.4 >
3911 : < 0.2875, 0.4 >
3912 : < 0.3, 0.4 >
3913 : < 0.3125, 0.4 >
3914 : < 0.325, 0.4 >
3915 : < 0.3375, 0.4 >
3916 : < 0.35, 0.4 >
3917 : < 0.3625, 0.4 >
3918 : < 0.375, 0.4 >
3919 : < 0.3875, 0.4 >
3920 : < 0.4, 0.4 >
3921 : < 0.4125, 0.4 >
3922 : < 0.425, 0.4 >
3923 : < 0.4375, 0.4 >
3924 : < 0.45, 0.4 >
3925 : < 0.4625, 0.4 >
3926 : < 0.475, 0.4 >
3927 : < 0.4875, 0.4 >
3928 : < 0.5, 0.4 >
3929 : < 0.5125, 0.4 >
3930 : < 0.525, 0.4 >
3931 : < 0.5375, 0.4 >
3932 : < 0.55, 0.4 >
3933 : < 0.5625, 0.4 >
3934 : < 0.575, 0.4 >
3935 : < 0.5875, 0.4 >
3936 : < 0.6, 0.4 >
3937 : < 0.6125, 0.4 >
3938 : < 0.625, 0.4 >
3939 : < 0.6375, 0.4 >
3940 : < 0.65, 0.4 >
3941 : < 0.6625, 0.4 >
3942 : < 0.675, 0.4 >
3943 : < 0.6875, 0.4 >
3944 : < 0.7, 0.4 >
3945 : < 0.7125, 0.4 >
3946 : < 0.725, 0.4 >
3947 : < 0.7375, 0.4 >
3948 : < 0.75, 0.4 >
3949 : < 0.7625, 0.4 >
3950 : < 0.775, 0.4 >
3951 : < 0.7875, 0.4 >
3952 : < 0.8, 0.4 >
3953 : < 0.8125, 0.4 >
3954 : < 0.825, 0.4 >
3955 : < 0.8375, 0.4 >
3956 : < 0.85, 0.4 >
3957 : < 0.8625, 0.4 >
3958 : < 0.875, 0.4 >
3959 : < 0.8875, 0.4 >
3960 : < 0.9, 0.4 >
3961 : < 0.9125, 0.4 >
3962 : < 0.925, 0.4 >
3963 : < 0.9375, 0.4 >
3964 : < 0.95, 0.4 >
3965 : < 0.9625, 0.4 >
3966 : < 0.975, 0.4 >
3967 : < 0.9875, 0.4 >
3968 : < 1, 0.4 >
3969 : < 0, 0.3875 >
3970 : < 0.0125, 0.3875 >
3971 : < 0.025, 0.3875 >
3972 : < 0.0375, 0.3875 >
3973 : < 0.05, 0.3875 >
3974 : < 0.0625, 0.3875 >
3975 : < 0.075, 0.3875 >
3976 : < 0.0875, 0.3875 >
3977 : < 0.1, 0.3875 >
3978 : < 0.1125, 0.3875 >
3979 : < 0.125, 0.3875 >
3980 : < 0.1375, 0.3875 >
3981 : < 0.15, 0.3875 >
3982 : < 0.1625, 0.3875 >
3983 : < 0.175, 0.3875 >
3984 : < 0.1875, 0.3875 >
3985 : < 0.2, 0.3875 >
3986 : < 0.2125, 0.3875 >
3987 : < 0.225, 0.3875 >
3988 : < 0.2375, 0.3875 >
3989 : < 0.25, 0.3875 >
3990 : < 0.2625, 0.3875 >
3991 : < 0.275, 0.3875 >
3992 : < 0.2875, 0.3875 >
3993 : < 0.3, 0.3875 >
3994 : < 0.3125, 0.3875 >
3995 : < 0.325, 0.3875 >
3996 : < 0.3375, 0.3875 >
3997 : < 0.35, 0.3875 >
3998 : < 0.3625, 0.3875 >
3999 : < 0.375, 0.3875 >
4000 : < 0.3875, 0.3875 >
4001 : < 0.4, 0.3875 >
4002 : < 0.4125, 0.3875 >
4003 : < 0.425, 0.3875 >
4004 : < 0.4375, 0.3875 >
4005 : < 0.45, 0.3875 >
4006 : < 0.4625, 0.3875 >
4007 : < 0.475, 0.3875 >
4008 : < 0.4875, 0.3875 >
4009 : < 0.5, 0.3875 >
4010 : < 0.5125, 0.3875 >
4011 : < 0.525, 0.3875 >
4012 : < 0.5375, 0.3875 >
4013 : < 0.55, 0.3875 >
4014 : < 0.5625, 0.3875 >
4015 : < 0.575, 0.3875 >
4016 : < 0.5875, 0.3875 >
4017 : < 0.6, 0.3875 >
4018 : < 0.6125, 0.3875 >
4019 : < 0.625, 0.3875 >
4020 : < 0.6375, 0.3875 >
4021 : < 0.65, 0.3875 >
4022 : < 0.6625, 0.3875 >
4023 : < 0.675, 0.3875 >
4024 : < 0.6875, 0.3875 >
4025 : < 0.7, 0.3875 >
4026 : < 0.7125, 0.3875 >
4027 : < 0.725, 0.3875 >
4028 : < 0.7375, 0.3875 >
4029 : < 0.75, 0.3875 >
4030 : < 0.7625, 0.3875 >
4031 : < 0.775, 0.3875 >
4032 : < 0.7875, 0.3875 >
4033 : < 0.8, 0.3875 >
4034 : < 0.8125, 0.3875 >
4035 : < 0.825, 0.3875 >
4036 : < 0.8375, 0.3875 >
4037 : < 0.85, 0.3875 >
4038 : < 0.8625, 0.3875 >
4039 : < 0.875, 0.3875 >
4040 : < 0.8875, 0.3875 >
4041 : < 0.9, 0.3875 >
4042 : < 0.9125, 0.3875 >
4043 : < 0.925, 0.3875 >
4044 : < 0.9375, 0.3875 >
4045 : < 0.95, 0.3875 >
4046 : < 0.9625, 0.3875 >
4047 : < 0.975, 0.3875 >
4048 : < 0.9875, 0.3875 >
4049 : < 1, 0.3875 >
